;gender;name.title;name.first;name.last;location.street.number;location.street.name;location.city;location.state;location.country;location.postcode;location.coordinates.latitude;location.coordinates.longitude;location.timezone.offset;location.timezone.description;email;login.uuid;login.username;login.password;login.salt;login.md5;login.sha1;login.sha256;dob.date;dob.age;registered.date;registered.age;phone;cell;id.name;id.value;picture.large;picture.medium;picture.thumbnail;nat
0;female;Ms;Solène;Rousseau;9789;Rue de Gerland;Toulouse;Guyane;France;29111;22.6306;100.443;+9:00;Tokyo, Seoul, Osaka, Sapporo, Yakutsk;solene.rousseau@example.com;eecef7e5-3d7a-4ec4-9561-baf41d532835;beautifulpanda674;happy123;2EP5XsMv;a6a946c36b6f7b951229703ffea756b8;dd9942b0eb18ffdce3bcd73667ff2a260f71d0b0;fccf073c8c525c7082a0a5be7fa0f38269c4d15ee5565c81b648ea7b8dbb2680;2000-12-20T12:43:21.043Z;21;2007-05-16T22:28:22.439Z;15;05-31-15-23-20;0687102670;INSEE;21001103298778 94;https://randomuser.me/api/portraits/women/8.jpg;https://randomuser.me/api/portraits/med/women/8.jpg;https://randomuser.me/api/portraits/thumb/women/8.jpg;FR
1;male;Mr;Isaac;Craig;7784;Forest Ln;Coffs Harbour;Tasmania;Australia;584;-47.5902;-174.2668;-7:00;Mountain Time (US & Canada);isaac.craig@example.com;dc214ab0-054e-4dbb-8f36-22c44b486406;purplecat250;kestrel;HyrczErL;70c29787d25e756f578de6410ce2065c;a9407c8f8b9cf397746370d045770fae2daf1d36;c4f079ef5424429bc8e7ca1ec744ed963ee0612b85a4333bf829b3d03dcda088;1983-11-30T13:49:59.769Z;38;2009-07-21T02:34:39.772Z;13;09-7179-3082;0445925828;TFN;939811646;https://randomuser.me/api/portraits/men/0.jpg;https://randomuser.me/api/portraits/med/men/0.jpg;https://randomuser.me/api/portraits/thumb/men/0.jpg;AU
2;male;Mr;Dylan;Mackay;4421;Park Rd;Vanier;Northwest Territories;Canada;A6B 2D2;-0.349;-75.7412;+5:30;Bombay, Calcutta, Madras, New Delhi;dylan.mackay@example.com;98a12b50-fc3b-4e50-9379-f49d4ef5ed21;reddog365;dandfa;lo8dkZnI;7b4c64e8972eed360d4a4167e35f59a3;9050a34399109d7d89111663935bc4689522b2e1;ac7f63a3b2668b8f84fec261f7f9feadc36b9f65bb5115f23c52c265132fc6a4;1976-12-14T02:23:59.267Z;45;2007-09-12T17:26:58.494Z;14;E97 U51-8619;50854010;SIN;687546788;https://randomuser.me/api/portraits/men/27.jpg;https://randomuser.me/api/portraits/med/men/27.jpg;https://randomuser.me/api/portraits/thumb/men/27.jpg;CA
3;female;Miss;Mélissa;Henry;442;Rue Bony;Aulnay-sous-Bois;Finistère;France;42490;23.033;-31.2537;+4:00;Abu Dhabi, Muscat, Baku, Tbilisi;melissa.henry@example.com;a09449b7-ae75-423f-82d3-84a349442ecc;silverfish449;retire;SuNKElja;614fe43bedd026f2f08c9cd285dc32a3;1cbee056fff6a68734b715e11a168d5922d16390;6fbc2a2e5465b01c23386299f0627794ed8dd27979639c88308048ab430f0613;1983-07-26T09:22:18.843Z;39;2008-06-18T00:41:02.840Z;14;05-29-66-54-38;0606915423;INSEE;2830647660070 10;https://randomuser.me/api/portraits/women/17.jpg;https://randomuser.me/api/portraits/med/women/17.jpg;https://randomuser.me/api/portraits/thumb/women/17.jpg;FR
4;female;Miss;Beverly;Foster;9791;W Belt Line Rd;Wagga Wagga;New South Wales;Australia;1811;10.3013;-140.5385;+11:00;Magadan, Solomon Islands, New Caledonia;beverly.foster@example.com;da2f1900-d871-4219-9c86-bcde0a0413ac;greenrabbit312;silver1;HWqQql8e;90878ea4f591c014bc7c515e298340d0;2506efbe5d7b2982bf62820e900459fdfe827fa4;f61721e16b987f5f193ff135ffedd0d9d12458a2cd6e1a57bcab663c1d003ea4;1983-10-09T18:51:03.593Z;38;2003-04-17T05:19:25.133Z;19;08-4933-3523;0401355865;TFN;031678068;https://randomuser.me/api/portraits/women/73.jpg;https://randomuser.me/api/portraits/med/women/73.jpg;https://randomuser.me/api/portraits/thumb/women/73.jpg;AU
5;male;Mr;Idálio;da Mota;9234;Rua Primeiro de Maio ;Jacareí;São Paulo;Brazil;21666;56.7951;-22.8984;+2:00;Kaliningrad, South Africa;idalio.damota@example.com;0906145b-5a97-4220-bc46-a42d4e99866d;silvercat510;colt;UPldNyxT;7a3825b6dd786917ae489c21dab59469;4e534166fdb460c487b0f2ab078c8757ca81a439;e36947406060f488c2b3b2630ce0b69dfe8b29bb1e99b3307a4ceaaceea69449;1945-08-01T15:48:13.828Z;77;2013-09-27T21:52:29.049Z;8;(79) 1464-8835;9191915734;CPF;765.265.433-23;https://randomuser.me/api/portraits/men/70.jpg;https://randomuser.me/api/portraits/med/men/70.jpg;https://randomuser.me/api/portraits/thumb/men/70.jpg;BR
6;female;Miss;Evelyn;Castillo;8;Smokey Ln;Bundaberg;New South Wales;Australia;9282;-77.7231;56.8542;0:00;Western Europe Time, London, Lisbon, Casablanca;evelyn.castillo@example.com;e397457c-aa01-4c0d-8142-ffde358c4a43;whiteelephant881;qwertz;jUC0Dr70;2b4070a9456a6fda423efaee94fca1d5;d4418bbce787d4593440234f8aae6c1a139ae8c3;cac1c99e403db7810599553eb091ac07678a9ef92f7d77f228b409b2b4970d43;1954-09-13T00:22:50.296Z;67;2021-05-18T08:30:34.629Z;1;04-7125-2333;0422990903;TFN;759467983;https://randomuser.me/api/portraits/women/45.jpg;https://randomuser.me/api/portraits/med/women/45.jpg;https://randomuser.me/api/portraits/thumb/women/45.jpg;AU
7;male;Mr;Nicholas;Harvey;3037;Crockett St;Mildura;Australian Capital Territory;Australia;440;84.1914;-154.1885;+9:30;Adelaide, Darwin;nicholas.harvey@example.com;c5c3b0cd-7e44-4584-9015-88d98042abd0;ticklishsnake715;angelina;gZ5xzGdJ;9479739c36071e5260ed7a7a210932a1;8ea9309833eba29255a7f59d560cb6824c6f5443;cb644cfc3eec6f0df8d6ab52c1b166e1e6fe6a4ffa762eed9eeedaaa933f2a09;1986-01-11T12:27:32.263Z;36;2004-11-01T06:00:45.166Z;17;04-7928-1341;0427031240;TFN;710788723;https://randomuser.me/api/portraits/men/75.jpg;https://randomuser.me/api/portraits/med/men/75.jpg;https://randomuser.me/api/portraits/thumb/men/75.jpg;AU
8;female;Miss;Maya;Henry;8902;Montée du Chemin-Neuf;Courbevoie;Allier;France;13848;24.7411;113.064;-4:00;Atlantic Time (Canada), Caracas, La Paz;maya.henry@example.com;236748e8-7e2c-4a30-a66b-3c2709bbe369;smallbird592;suzuki;3YiQnq6J;3f2780ecf25e3454f9da79ec1588138f;77790b43f0e19f776788409be819dc1e3c96d21c;d7b28fc9ff284a0cbcee81ec1fbe9c3b01b92933348c7c55588fe7736d8d045e;1959-07-12T05:53:50.720Z;63;2020-01-26T18:38:52.071Z;2;05-25-54-20-02;0618446231;INSEE;2590693343379 27;https://randomuser.me/api/portraits/women/19.jpg;https://randomuser.me/api/portraits/med/women/19.jpg;https://randomuser.me/api/portraits/thumb/women/19.jpg;FR
9;male;Mr;Same;Mitchell;4058;Samaritan Dr;Santa Maria;Hawaii;United States;12426;-13.2316;143.21;+5:00;Ekaterinburg, Islamabad, Karachi, Tashkent;same.mitchell@example.com;c59f2e2f-28b5-47ca-83a8-75545ed52370;orangemeercat408;fallon;yQ06RVQr;c811630c682272eb9c78f5a1ab6d6703;3979d2163e78a028cbe99e2595082527b5db7a82;31099bd1155b7cbfc648eb07497af5569d8edbd9ef970d8a66a33b0b50a22c0a;1966-03-17T01:00:32.008Z;56;2019-08-18T00:05:45.231Z;2;(208) 618-9416;9373007048;SSN;054-42-6954;https://randomuser.me/api/portraits/men/82.jpg;https://randomuser.me/api/portraits/med/men/82.jpg;https://randomuser.me/api/portraits/thumb/men/82.jpg;US
